SubjectID,researchdate
3756013447131138625,2025-06-09
3891115984388077834,2025-06-09
4262170472843736513,2025-06-09
4548647573216187331,2025-06-09
4683750691077887234,2025-06-09
5332267584642577112,2025-06-09
5413337214202462417,2025-06-09
5557453419725369300,2025-06-09
5764614858704116186,2025-06-09
5918087169164797888,2025-06-09
6341074104264852173,2025-06-09
6629304165209877148,2025-06-09
6854489498627102104,2025-06-09
7430951296027745216,2025-06-09
7782225885427882784,2025-06-09
7782225973962771416,2025-06-09
8070458324181978240,2025-06-09
8295642745197945921,2025-06-09
8502803222098581352,2025-06-09
792639191900656652,2025-06-10
801651206834380375,2025-06-10
1091468501617997632,2025-06-10
1513216533926154380,2025-06-10
1585271561336633794,2025-06-10
1585271561336642047,2025-06-10
1585271561336690497,2025-06-10
1585271561336762631,2025-06-10
1585271561336872859,2025-06-10
1585271561336876209,2025-06-10
1585271561336917724,2025-06-10
1585271561336999721,2025-06-10
1585271561337012029,2025-06-10
1585271561337021179,2025-06-10
1585274468154760705,2025-06-10
1883240920244414016,2025-06-10
3035438258777611137,2025-06-10
3107497533813582784,2025-06-10
3468921029437605568,2025-06-10
3819059496266610048,2025-06-10
3828751370547352448,2025-06-10
3891115984388077834,2025-06-10
4476589022556912544,2025-06-10
5764614858704116186,2025-06-10
6269016405102144747,2025-06-10
6413133404652387490,2025-06-10
6701361217345430838,2025-06-10
6998605980629640515,2025-06-10
7719181970776511680,2025-06-10
7782225885427882784,2025-06-10
8007412031770014786,2025-06-10
8791033531835245126,2025-06-10
8801587602994100992,2025-06-10
8935147025123496246,2025-06-10
5034735007817,2025-06-11
720583759961124417,2025-06-11
1585271561336762631,2025-06-11
1585271561336807123,2025-06-11
1585271561336925889,2025-06-11
1585271561337030905,2025-06-11
1585271561337040624,2025-06-11
1585271561337053502,2025-06-11
1585274423917697153,2025-06-11
1729388589032331985,2025-06-11
1954573939019830722,2025-06-11
2026631416935243265,2025-06-11
2242805481916280257,2025-06-11
2963380775332161089,2025-06-11
3963174731014708819,2025-06-11
4179348047056553453,2025-06-11
4404532838566919552,2025-06-11
4692759896965140290,2025-06-11
5053051273388340352,2025-06-11
5557453480556840705,2025-06-11
5764614858704116186,2025-06-11
6052843423965704248,2025-06-11
6052843423965704462,2025-06-11
6052843423965704624,2025-06-11
6341074104264852173,2025-06-11
6350087783588513730,2025-06-11
6494202667536140096,2025-06-11
6557246880847484935,2025-06-11
6629304165209878669,2025-06-11
6998872468341592896,2025-06-11
7576476778608295233,2025-06-11
7926341023773842837,2025-06-11
7998397832613031942,2025-06-11
8070458324181978240,2025-06-11
8583871661534034304,2025-06-11
5034735006848,2025-06-12
5034735007627,2025-06-12
9312040921243712,2025-06-12
153134419846816128,2025-06-12
432351254888982875,2025-06-12
513421936608555392,2025-06-12
720583759961119936,2025-06-12
792639191900656750,2025-06-12
1297043030334348571,2025-06-12
1585271561336642047,2025-06-12
1585271561336820883,2025-06-12
1585271561337003848,2025-06-12
1585271561337030905,2025-06-12
1810459314961883392,2025-06-12
2882309734211218374,2025-06-12
2882310110228255683,2025-06-12
2882311520272393920,2025-06-12
3828751370547352448,2025-06-12
5332267584642577160,2025-06-12
5413337214202460180,2025-06-12
5548441990942657024,2025-06-12
5629511306838413568,2025-06-12
5701569099948068097,2025-06-12
6052843423965704109,2025-06-12
6557248473360856802,2025-06-12
6566258848326421577,2025-06-12
6845478458367164868,2025-06-12
7286835588169424727,2025-06-12
7575065682304820290,2025-06-12
7791241212634245504,2025-06-12
8791033816660297281,2025-06-12
81077505949382145,2025-06-13
360295029579446279,2025-06-13
369305952269615221,2025-06-13
441361688982367554,2025-06-13
576465923186619466,2025-06-13
936756002501340111,2025-06-13
1297043030334348571,2025-06-13
1513216533926154380,2025-06-13
1585271561336723110,2025-06-13
1585271561336864369,2025-06-13
1585271561336876209,2025-06-13
1585271561337019272,2025-06-13
1585271561337033691,2025-06-13
1585271561337036442,2025-06-13
1585271561337044540,2025-06-13
1810455936995143616,2025-06-13
2386919254417071878,2025-06-13
2449965477186178842,2025-06-13
2819265587255210048,2025-06-13
3035438529728160640,2025-06-13
3098483602160404120,2025-06-13
3467784160333701762,2025-06-13
3611896085929165248,2025-06-13
3901257438148375808,2025-06-13
4332926112403708992,2025-06-13
4611694214010660315,2025-06-13
4764820692635344322,2025-06-13
4827866868944797761,2025-06-13
5054118000478009920,2025-06-13
5188154264055125162,2025-06-13
5270923432208053120,2025-06-13
5629511450608996289,2025-06-13
5629511959330150400,2025-06-13
5629512169455334209,2025-06-13
5701568878757408000,2025-06-13
5764614858704116186,2025-06-13
6052843423965704521,2025-06-13
6206643039465930496,2025-06-13
6341074104264849939,2025-06-13
6413133404652387490,2025-06-13
6557248473360856802,2025-06-13
6557248561836698767,2025-06-13
6629304165209876610,2025-06-13
6629304165209877384,2025-06-13
7286835588169424727,2025-06-13
7791241212634245504,2025-06-13
5034735007773,2025-06-14
9312040921243712,2025-06-14
297251194917919616,2025-06-14
369305952269615221,2025-06-14
585481725913663553,2025-06-14
648524241621891017,2025-06-14
1378112445748263814,2025-06-14
1513216560753935319,2025-06-14
1513217089771005832,2025-06-14
1585271561336609714,2025-06-14
1585271561336624659,2025-06-14
1585271561336627208,2025-06-14
1585271561336723110,2025-06-14
1585271561336888673,2025-06-14
1585271561337053502,2025-06-14
1738401682216574849,2025-06-14
1873503251789431953,2025-06-14
1882516134850618573,2025-06-14
2089675984079929177,2025-06-14
2242805481916280257,2025-06-14
2594080439968916616,2025-06-14
2738194092690289029,2025-06-14
2738194092690289068,2025-06-14
2747206538927418458,2025-06-14
2748336010956710272,2025-06-14
2748907845476333312,2025-06-14
2819265587255210048,2025-06-14
3107495819638266880,2025-06-14
3467783037797019533,2025-06-14
3467783911479855681,2025-06-14
3819059496266608833,2025-06-14
3828751370547352448,2025-06-14
4837337629923812032,2025-06-14
5054584265293230848,2025-06-14
6701361217345430577,2025-06-14
6998872468341592896,2025-06-14
7782225973962771416,2025-06-14
8502804186997688729,2025-06-14
8574860238283842062,2025-06-14
8718974580309866977,2025-06-14
8935147025123495532,2025-06-14
9018203264608292,2025-06-15
792640588831739528,2025-06-15
1297043030334348571,2025-06-15
1513216533926154380,2025-06-15
1513216560753935319,2025-06-15
1585271561336590344,2025-06-15
1585271561336609714,2025-06-15
1585271561336631758,2025-06-15
1585271561336634007,2025-06-15
1585271561336660303,2025-06-15
1585271561336744637,2025-06-15
1585271561336777509,2025-06-15
1585271561336807946,2025-06-15
1585271561336888673,2025-06-15
1585271561336969923,2025-06-15
1585271561337020096,2025-06-15
1801456980864929841,2025-06-15
2531033574337164671,2025-06-15
2738194092690289029,2025-06-15
2954367870147815886,2025-06-15
3251612677654324864,2025-06-15
3611898983435468929,2025-06-15
3891115984388077728,2025-06-15
4188356816114174976,2025-06-15
4323463152188622601,2025-06-15
4611694214010660315,2025-06-15
4764817325728907136,2025-06-15
5053051190437830144,2025-06-15
5980785973690676368,2025-06-15
6341074104264850600,2025-06-15
6629304165209877317,2025-06-15
6701361217345430741,2025-06-15
